output_id,llm_judge_fidelity
C2_full_p00,3.0
C2_full_p01,3.0
C2_full_p02,3.0
C2_full_p03,3.0
C2_full_p04,3.0
C2_full_p05,3.0
C2_full_p06,3.0
C2_full_p07,3.0
C2_full_p08,3.0
C2_full_p09,3.0
C2_full_p10,3.0
C2_full_p11,4.0
C2_full_p12,3.0
C2_full_p13,3.0
C2_full_p14,4.0
C2_full_p15,3.0
C2_none_p00,3.0
C2_none_p01,3.0
C2_none_p02,3.0
C2_none_p03,3.0
C2_none_p04,3.0
C2_none_p05,3.0
C2_none_p06,3.0
C2_none_p07,3.0
C2_none_p08,2.0
C2_none_p09,2.0
C2_none_p10,2.0
C2_none_p11,2.0
C2_none_p12,2.0
C2_none_p13,3.0
C2_none_p14,3.0
C2_none_p15,3.0
C3_full_p00,4.0
C3_full_p01,3.0
C3_full_p02,4.0
C3_full_p03,3.0
C3_full_p04,3.0
C3_full_p05,3.0
C3_full_p06,4.0
C3_full_p07,3.0
C3_full_p08,3.0
C3_full_p09,3.0
C3_full_p10,3.0
C3_full_p11,3.0
C3_full_p12,3.0
C3_full_p13,3.0
C3_full_p14,3.0
C3_full_p15,3.0
C3_none_p00,3.0
C3_none_p01,3.0
C3_none_p02,3.0
C3_none_p03,3.0
C3_none_p04,3.0
C3_none_p05,3.0
C3_none_p06,3.0
C3_none_p07,3.0
C3_none_p08,3.0
C3_none_p09,3.0
C3_none_p10,3.0
C3_none_p11,3.0
C3_none_p12,3.0
C3_none_p13,3.0
C3_none_p14,3.0
C3_none_p15,3.0
