output_id,condition,ablation,llm_judge_fidelity
C2_full_p00,C2,full,5.0
C2_full_p01,C2,full,4.0
C2_full_p02,C2,full,5.0
C2_full_p03,C2,full,4.0
C2_full_p04,C2,full,4.0
C2_full_p05,C2,full,4.0
C2_full_p06,C2,full,4.0
C2_full_p07,C2,full,4.0
C2_full_p08,C2,full,5.0
C2_full_p09,C2,full,4.0
C2_full_p10,C2,full,4.0
C2_full_p11,C2,full,5.0
C2_full_p12,C2,full,4.0
C2_full_p13,C2,full,4.0
C2_full_p14,C2,full,4.0
C2_full_p15,C2,full,5.0
C2_none_p00,C2,none,3.0
C2_none_p01,C2,none,3.0
C2_none_p02,C2,none,3.0
C2_none_p03,C2,none,3.0
C2_none_p04,C2,none,3.0
C2_none_p05,C2,none,3.0
C2_none_p06,C2,none,3.0
C2_none_p07,C2,none,4.0
C2_none_p08,C2,none,3.0
C2_none_p09,C2,none,3.0
C2_none_p10,C2,none,3.0
C2_none_p11,C2,none,3.0
C2_none_p12,C2,none,2.0
C2_none_p13,C2,none,4.0
C2_none_p14,C2,none,2.0
C2_none_p15,C2,none,4.0
C3_full_p00,C3,full,5.0
C3_full_p01,C3,full,4.0
C3_full_p02,C3,full,5.0
C3_full_p03,C3,full,5.0
C3_full_p04,C3,full,4.0
C3_full_p05,C3,full,5.0
C3_full_p06,C3,full,5.0
C3_full_p07,C3,full,5.0
C3_full_p08,C3,full,5.0
C3_full_p09,C3,full,4.0
C3_full_p10,C3,full,4.0
C3_full_p11,C3,full,5.0
C3_full_p12,C3,full,4.0
C3_full_p13,C3,full,5.0
C3_full_p14,C3,full,4.0
C3_full_p15,C3,full,5.0
C3_none_p00,C3,none,3.0
C3_none_p01,C3,none,4.0
C3_none_p02,C3,none,4.0
C3_none_p03,C3,none,4.0
C3_none_p04,C3,none,4.0
C3_none_p05,C3,none,4.0
C3_none_p06,C3,none,4.0
C3_none_p07,C3,none,4.0
C3_none_p08,C3,none,4.0
C3_none_p09,C3,none,4.0
C3_none_p10,C3,none,4.0
C3_none_p11,C3,none,4.0
C3_none_p12,C3,none,4.0
C3_none_p13,C3,none,3.0
C3_none_p14,C3,none,4.0
C3_none_p15,C3,none,4.0
