candidate_id,condition,ablation,prompt_id,n_idx
C3_full_p00_k0,C3,full,p00,0
C3_full_p00_k1,C3,full,p00,1
C2_full_p00_k0,C2,full,p00,0
C2_full_p00_k1,C2,full,p00,1
C2_full_p00_k2,C2,full,p00,2
C2_full_p00_k3,C2,full,p00,3
C2_full_p00_k4,C2,full,p00,4
C2_full_p00_k5,C2,full,p00,5
C2_full_p00_k6,C2,full,p00,6
C2_full_p00_k7,C2,full,p00,7
C2_full_p01_k0,C2,full,p01,0
C2_full_p01_k1,C2,full,p01,1
C2_full_p01_k2,C2,full,p01,2
C2_full_p01_k3,C2,full,p01,3
C2_full_p01_k4,C2,full,p01,4
C2_full_p01_k5,C2,full,p01,5
C2_full_p01_k6,C2,full,p01,6
C2_full_p01_k7,C2,full,p01,7
C2_full_p02_k0,C2,full,p02,0
C2_full_p02_k1,C2,full,p02,1
C2_full_p02_k2,C2,full,p02,2
C2_full_p02_k3,C2,full,p02,3
C2_full_p02_k4,C2,full,p02,4
C2_full_p02_k5,C2,full,p02,5
C2_full_p02_k6,C2,full,p02,6
C2_full_p02_k7,C2,full,p02,7
C2_full_p03_k3,C2,full,p03,3
C2_full_p03_k1,C2,full,p03,1
C2_full_p03_k4,C2,full,p03,4
C2_full_p03_k2,C2,full,p03,2
C2_full_p03_k7,C2,full,p03,7
C2_full_p03_k5,C2,full,p03,5
C2_full_p03_k6,C2,full,p03,6
C2_full_p03_k0,C2,full,p03,0
C2_full_p04_k3,C2,full,p04,3
C2_full_p04_k0,C2,full,p04,0
C2_full_p04_k4,C2,full,p04,4
C2_full_p04_k5,C2,full,p04,5
C2_full_p04_k6,C2,full,p04,6
C2_full_p04_k1,C2,full,p04,1
C2_full_p04_k2,C2,full,p04,2
C2_full_p04_k7,C2,full,p04,7
C2_full_p05_k3,C2,full,p05,3
C2_full_p05_k0,C2,full,p05,0
C2_full_p05_k1,C2,full,p05,1
C2_full_p05_k5,C2,full,p05,5
C2_full_p05_k4,C2,full,p05,4
C2_full_p05_k2,C2,full,p05,2
C2_full_p05_k6,C2,full,p05,6
C2_full_p05_k7,C2,full,p05,7
C2_full_p06_k0,C2,full,p06,0
C2_full_p06_k1,C2,full,p06,1
C2_full_p06_k2,C2,full,p06,2
C2_full_p06_k3,C2,full,p06,3
C2_full_p06_k4,C2,full,p06,4
C2_full_p06_k5,C2,full,p06,5
C2_full_p06_k6,C2,full,p06,6
C2_full_p06_k7,C2,full,p06,7
C2_full_p07_k1,C2,full,p07,1
C2_full_p07_k0,C2,full,p07,0
C2_full_p07_k2,C2,full,p07,2
C2_full_p07_k3,C2,full,p07,3
C2_full_p07_k5,C2,full,p07,5
C2_full_p07_k4,C2,full,p07,4
C2_full_p07_k7,C2,full,p07,7
C2_full_p07_k6,C2,full,p07,6
C2_full_p08_k0,C2,full,p08,0
C2_full_p08_k1,C2,full,p08,1
C2_full_p08_k2,C2,full,p08,2
C2_full_p08_k3,C2,full,p08,3
C2_full_p08_k4,C2,full,p08,4
C2_full_p08_k5,C2,full,p08,5
C2_full_p08_k6,C2,full,p08,6
C2_full_p08_k7,C2,full,p08,7
C2_full_p09_k0,C2,full,p09,0
C2_full_p09_k4,C2,full,p09,4
